site,trap_type,transect,station,year,month,season,rainfall_season,x_long,y_lat,count,Cxpa,elevation,distance,precip,preciplag1,preciplag2,tmean,tmeanlag1,tmeanlag2,tmax,tmaxlag1,tmaxlag2,tmin,tminlag1,tminlag2
COO,gravid,400,100,2003,9,fall,dry,-155.2307343,19.43960176,0,0,1120.48,203.58,309,184,267,17.75,18.23,18.13,22.28,22.64,22.42,13.21,13.81,13.84
COO,gravid,400,400,2003,9,fall,dry,-155.2284136,19.44091997,3,1,1098.58,450.18,316,190,273,17.85,18.34,18.2,22.38,22.74,22.51,13.32,13.93,13.88
COO,gravid,600,400,2003,9,fall,dry,-155.227512,19.43940909,2,1,1096.89,508.78,321,192,277,17.94,18.41,18.28,22.43,22.8,22.56,13.44,14.02,13.99
COO,gravid,600,800,2003,9,fall,dry,-155.2244271,19.4411812,2,1,1078.85,501.22,330,199,286,17.99,18.46,18.31,22.48,22.85,22.6,13.49,14.07,14.01
COO,gravid,600,900,2003,9,fall,dry,-155.2236312,19.44165793,2,1,1078.31,504.8,338,204,293,18.04,18.51,18.35,22.51,22.89,22.63,13.57,14.13,14.07
COO,gravid,0,200,2003,10,fall,dry,-155.2317534,19.44307982,0,0,1125.71,62.95,90,311,188,18.01,17.75,18.24,23.25,22.3,22.68,12.77,13.19,13.79
COO,gravid,200,600,2003,10,fall,dry,-155.2277655,19.44331487,1,1,1099.4,285.17,95,325,197,18.17,17.9,18.37,23.35,22.41,22.79,12.98,13.38,13.95
COO,gravid,200,700,2003,10,fall,dry,-155.2269735,19.44378458,0,0,1098.91,337.97,95,325,197,18.17,17.9,18.37,23.35,22.41,22.79,12.98,13.39,13.95
COO,gravid,400,100,2003,10,fall,dry,-155.2307343,19.43960176,1,1,1120.48,203.58,90,309,184,17.99,17.75,18.23,23.24,22.28,22.64,12.73,13.21,13.81
COO,gravid,600,600,2003,10,fall,dry,-155.2259637,19.44028615,1,1,1085.07,481.06,96,328,196,18.23,17.99,18.45,23.41,22.46,22.84,13.05,13.52,14.06
COO,gravid,600,800,2003,10,fall,dry,-155.2244271,19.4411812,0,0,1078.85,501.22,97,330,199,18.26,17.99,18.46,23.42,22.48,22.85,13.09,13.49,14.07
COO,gravid,600,900,2003,10,fall,dry,-155.2236312,19.44165793,0,0,1078.31,504.8,100,338,204,18.32,18.04,18.51,23.46,22.51,22.89,13.18,13.57,14.13
COO,gravid,0,100,2003,11,fall,wet,-155.2325277,19.4426415,0,0,1128.82,62.46,289,90,310,16.06,18.02,17.76,19.77,23.26,22.31,12.35,12.78,13.2
COO,gravid,200,800,2003,11,fall,wet,-155.2262343,19.44421862,1,1,1097.24,403.06,301,95,325,16.11,18.17,17.9,19.75,23.35,22.41,12.47,12.98,13.39
COO,gravid,400,500,2003,11,fall,wet,-155.2276262,19.44137408,0,0,1087.63,450.48,299,94,323,16.2,18.22,17.95,19.84,23.4,22.45,12.55,13.04,13.45
COO,gravid,600,400,2003,11,fall,wet,-155.227512,19.43940909,0,0,1096.89,508.78,297,94,321,16.2,18.19,17.94,19.86,23.38,22.43,12.54,12.99,13.44
COO,gravid,600,700,2003,11,fall,wet,-155.2251706,19.44073586,0,0,1082.26,481.08,301,96,328,16.22,18.23,17.99,19.85,23.41,22.46,12.59,13.05,13.52
COO,gravid,800,800,2003,11,fall,wet,-155.2235136,19.43969315,0,0,1081.73,321.34,307,99,335,16.25,18.28,18.03,19.85,23.44,22.49,12.64,13.12,13.57
COO,gravid,800,900,2003,11,fall,wet,-155.2226967,19.44015203,2,1,1076.51,315.22,307,99,335,16.25,18.28,18.03,19.85,23.44,22.49,12.64,13.12,13.57
COO,gravid,0,200,2003,12,winter,wet,-155.2317534,19.44307982,1,1,1125.71,62.95,347,290,90,15.58,16.02,18.01,19.54,19.72,23.25,11.61,12.31,12.77
COO,gravid,0,600,2003,12,winter,wet,-155.2286557,19.4448321,0,0,1108.71,142.74,350,295,92,15.6,16.07,18.1,19.5,19.74,23.31,11.7,12.4,12.88
COO,gravid,0,900,2003,12,winter,wet,-155.2263299,19.44615884,0,0,1101.28,312.25,358,303,95,15.55,16.07,18.16,19.34,19.69,23.34,11.75,12.45,12.98
COO,gravid,200,500,2003,12,winter,wet,-155.228513,19.44287151,0,0,1100.79,260.84,346,294,92,15.67,16.12,18.11,19.61,19.8,23.32,11.73,12.43,12.9
COO,gravid,400,300,2003,12,winter,wet,-155.2291943,19.44046969,0,0,1106.19,387.27,342,292,92,15.69,16.11,18.06,19.67,19.8,23.29,11.71,12.41,12.83
COO,gravid,800,400,2003,12,winter,wet,-155.2265905,19.43790854,0,0,1096.39,318.37,342,294,93,15.77,16.18,18.12,19.7,19.85,23.34,11.83,12.5,12.9
COO,gravid,800,600,2003,12,winter,wet,-155.225055,19.43880556,0,0,1089.58,292.67,350,301,96,15.77,16.22,18.24,19.61,19.85,23.41,11.92,12.59,13.06
COO,gravid,0,300,2004,1,winter,wet,-155.2309783,19.44351859,0,0,1121.78,63.44,570,347,290,15.05,15.58,16.02,19.13,19.55,19.72,10.96,11.61,12.31
COO,gravid,0,500,2004,1,winter,wet,-155.22941,19.44441397,0,0,1112.78,73.55,575,350,295,15.1,15.6,16.07,19.14,19.5,19.74,11.05,11.7,12.39
COO,gravid,0,700,2004,1,winter,wet,-155.2278603,19.44527299,0,0,1106.78,222.9,582,358,303,15.09,15.55,16.07,19.08,19.34,19.69,11.1,11.75,12.44
COO,gravid,400,300,2004,1,winter,wet,-155.2291943,19.44046969,1,1,1106.19,387.27,576,342,292,15.17,15.69,16.11,19.22,19.67,19.8,11.11,11.71,12.41
COO,gravid,600,200,2004,1,winter,wet,-155.2290522,19.4385194,3,1,1114.13,339.31,576,342,292,15.18,15.69,16.11,19.23,19.67,19.8,11.12,11.71,12.41
COO,gravid,600,500,2004,1,winter,wet,-155.2267011,19.43986808,1,1,1087.56,493.94,581,346,297,15.28,15.76,16.2,19.28,19.66,19.86,11.28,11.85,12.54
COO,gravid,600,900,2004,1,winter,wet,-155.2236312,19.44165793,0,0,1078.31,504.8,594,359,310,15.34,15.72,16.24,19.25,19.49,19.83,11.42,11.94,12.64
COO,gravid,800,500,2004,1,winter,wet,-155.2258236,19.43835246,0,0,1092.75,305.18,586,345,299,15.29,15.8,16.23,19.29,19.67,19.86,11.29,11.93,12.59
COO,gravid,0,100,2004,2,winter,wet,-155.2325277,19.4426415,0,0,1128.82,62.46,254,571,343,15.6,15.08,15.64,19.77,19.18,19.64,11.43,10.98,11.64
COO,gravid,0,300,2004,2,winter,wet,-155.2309783,19.44351859,0,0,1121.78,63.44,254,570,347,15.53,15.05,15.58,19.68,19.13,19.55,11.38,10.96,11.61
COO,gravid,0,500,2004,2,winter,wet,-155.22941,19.44441397,0,0,1112.78,73.55,257,575,350,15.57,15.1,15.6,19.66,19.14,19.5,11.47,11.05,11.7
COO,gravid,400,200,2004,2,winter,wet,-155.2299591,19.44003864,0,0,1113.74,296.04,257,576,342,15.66,15.17,15.69,19.81,19.22,19.67,11.5,11.11,11.71
COO,gravid,600,600,2004,2,winter,wet,-155.2259637,19.44028615,0,0,1085.07,481.06,262,586,350,15.72,15.3,15.76,19.76,19.27,19.61,11.67,11.33,11.91
COO,gravid,800,500,2004,2,winter,wet,-155.2258236,19.43835246,0,0,1092.75,305.18,261,586,345,15.73,15.29,15.8,19.79,19.29,19.67,11.67,11.29,11.93
COO,gravid,800,700,2004,2,winter,wet,-155.2242746,19.43926562,1,1,1085.76,293.63,262,586,350,15.72,15.3,15.77,19.76,19.27,19.61,11.68,11.33,11.92
COO,gravid,200,400,2004,3,spring,wet,-155.2293082,19.44242936,0,0,1108.3,257.95,518,257,576,15.35,15.64,15.16,19,19.76,19.21,11.69,11.51,11.11
COO,gravid,200,700,2004,3,spring,wet,-155.2269735,19.44378458,0,0,1098.91,337.97,533,260,581,15.28,15.6,15.14,18.86,19.64,19.15,11.7,11.55,11.13
COO,gravid,400,200,2004,3,spring,wet,-155.2299591,19.44003864,0,0,1113.74,296.04,514,257,576,15.36,15.66,15.17,19.04,19.81,19.22,11.68,11.5,11.11
COO,gravid,400,400,2004,3,spring,wet,-155.2284136,19.44091997,0,0,1098.58,450.18,518,257,576,15.35,15.64,15.16,19,19.76,19.21,11.69,11.51,11.11
COO,gravid,600,100,2004,3,spring,wet,-155.2298184,19.43806857,0,0,1119.12,244.38,511,256,576,15.4,15.7,15.19,19.09,19.86,19.25,11.71,11.53,11.12
COO,gravid,600,200,2004,3,spring,wet,-155.2290522,19.4385194,0,0,1114.13,339.31,514,257,576,15.36,15.66,15.18,19.04,19.81,19.23,11.68,11.5,11.12
COO,gravid,800,500,2004,3,spring,wet,-155.2258236,19.43835246,0,0,1092.75,305.18,531,261,586,15.44,15.73,15.29,19.04,19.79,19.29,11.83,11.67,11.29
COO,gravid,0,400,2004,4,spring,wet,-155.2302066,19.44395919,0,0,1116.49,63.57,486,521,257,15.41,15.27,15.57,19.14,18.89,19.66,11.68,11.64,11.47
COO,gravid,400,100,2004,4,spring,wet,-155.2307343,19.43960176,0,0,1120.48,203.58,471,506,255,15.48,15.36,15.66,19.3,19.07,19.84,11.65,11.65,11.48
COO,gravid,600,100,2004,4,spring,wet,-155.2298184,19.43806857,0,0,1119.12,244.38,472,511,256,15.52,15.4,15.7,19.32,19.09,19.86,11.72,11.71,11.53
COO,gravid,600,300,2004,4,spring,wet,-155.2282506,19.43899102,0,0,1105.44,435.31,477,514,257,15.49,15.36,15.66,19.28,19.04,19.81,11.7,11.68,11.5
COO,gravid,600,400,2004,4,spring,wet,-155.227512,19.43940909,1,1,1096.89,508.78,485,524,259,15.56,15.42,15.72,19.29,19.05,19.81,11.83,11.79,11.62
COO,gravid,800,400,2004,4,spring,wet,-155.2265905,19.43790854,0,0,1096.39,318.37,480,520,259,15.55,15.42,15.7,19.3,19.07,19.82,11.79,11.76,11.58
COO,gravid,800,900,2004,4,spring,wet,-155.2226967,19.44015203,0,0,1076.51,315.22,503,548,266,15.57,15.42,15.73,19.21,18.97,19.73,11.93,11.87,11.72
COO,gravid,0,300,2004,5,spring,dry,-155.2309783,19.44351859,0,0,1121.78,63.44,237,479,512,16.96,15.38,15.24,20.86,19.16,18.92,13.05,11.6,11.56
COO,gravid,0,600,2004,5,spring,dry,-155.2286557,19.4448321,0,0,1108.71,142.74,240,486,521,16.97,15.41,15.27,20.81,19.14,18.89,13.13,11.68,11.64
COO,gravid,400,500,2004,5,spring,dry,-155.2276262,19.44137408,1,1,1087.63,450.48,242,490,529,17.1,15.54,15.4,20.91,19.24,19,13.28,11.84,11.79
COO,gravid,400,600,2004,5,spring,dry,-155.2268674,19.44180033,1,1,1088.89,465.37,242,490,529,17.1,15.54,15.4,20.91,19.24,19,13.28,11.84,11.79
COO,gravid,600,300,2004,5,spring,dry,-155.2282506,19.43899102,0,0,1105.44,435.31,238,477,514,17.06,15.49,15.36,20.98,19.28,19.04,13.13,11.7,11.68
COO,gravid,800,100,2004,5,spring,dry,-155.2288934,19.43656257,0,0,1113.33,243.1,237,472,511,17.07,15.53,15.41,21.03,19.32,19.09,13.11,11.73,11.72
COO,gravid,800,900,2004,5,spring,dry,-155.2226967,19.44015203,0,0,1076.51,315.22,246,503,548,17.1,15.57,15.42,20.85,19.21,18.97,13.34,11.93,11.87
COO,gravid,200,500,2004,6,summer,dry,-155.228513,19.44287151,1,1,1100.79,260.84,146,239,482,17.32,17.05,15.48,21.6,20.92,19.24,13.04,13.17,11.72
COO,gravid,400,400,2004,6,summer,dry,-155.2284136,19.44091997,0,0,1098.58,450.18,146,239,482,17.32,17.05,15.48,21.6,20.93,19.24,13.04,13.17,11.72
COO,gravid,800,200,2004,6,summer,dry,-155.2281268,19.43701277,0,0,1109.79,338.1,147,239,480,17.34,17.09,15.55,21.62,20.98,19.3,13.06,13.19,11.79
COO,gravid,800,400,2004,6,summer,dry,-155.2265905,19.43790854,0,0,1096.39,318.37,147,239,480,17.34,17.09,15.55,21.62,20.98,19.3,13.06,13.19,11.79
COO,gravid,800,600,2004,6,summer,dry,-155.225055,19.43880556,0,0,1089.58,292.67,152,243,493,17.42,17.1,15.57,21.69,20.9,19.24,13.15,13.3,11.89
COO,gravid,800,700,2004,6,summer,dry,-155.2242746,19.43926562,0,0,1085.76,293.63,152,243,493,17.42,17.1,15.57,21.69,20.9,19.24,13.15,13.3,11.89
COO,gravid,800,800,2004,6,summer,dry,-155.2235136,19.43969315,1,1,1081.73,321.34,156,246,503,17.46,17.1,15.57,21.73,20.85,19.21,13.18,13.34,11.93
COO,gravid,0,100,2004,7,summer,dry,-155.2325277,19.4426415,2,1,1128.82,62.46,112,143,237,17.87,17.24,17.02,22.68,21.53,20.96,13.05,12.95,13.07
COO,gravid,200,500,2004,7,summer,dry,-155.228513,19.44287151,5,1,1100.79,260.84,114,146,239,17.94,17.32,17.05,22.74,21.6,20.92,13.13,13.04,13.17
COO,gravid,200,600,2004,7,summer,dry,-155.2277655,19.44331487,1,1,1099.4,285.17,117,152,243,17.97,17.34,16.99,22.77,21.64,20.77,13.16,13.04,13.2
COO,gravid,200,800,2004,7,summer,dry,-155.2262343,19.44421862,0,0,1097.24,403.06,117,152,243,17.97,17.34,16.99,22.77,21.64,20.77,13.16,13.04,13.2
COO,gravid,400,600,2004,7,summer,dry,-155.2268674,19.44180033,1,1,1088.89,465.37,117,150,242,18.03,17.41,17.1,22.8,21.67,20.91,13.25,13.14,13.28
COO,gravid,600,400,2004,7,summer,dry,-155.227512,19.43940909,0,0,1096.89,508.78,116,149,241,18.02,17.39,17.11,22.79,21.65,20.96,13.24,13.12,13.26
COO,gravid,600,600,2004,7,summer,dry,-155.2259637,19.44028615,0,0,1085.07,481.06,118,152,243,18.06,17.42,17.1,22.82,21.69,20.9,13.29,13.15,13.29
COO,gravid,800,500,2004,7,summer,dry,-155.2258236,19.43835246,0,0,1092.75,305.18,117,150,241,18.05,17.4,17.1,22.81,21.67,20.93,13.29,13.12,13.26
COO,gravid,0,100,2004,8,summer,dry,-155.2325277,19.4426415,0,0,1128.82,62.46,199,112,143,18.55,17.87,17.24,23.41,22.68,21.53,13.68,13.05,12.95
COO,gravid,200,100,2004,8,summer,dry,-155.2316212,19.44109917,0,0,1119.49,182.34,199,112,143,18.55,17.87,17.24,23.41,22.68,21.53,13.68,13.05,12.95
COO,gravid,200,300,2004,8,summer,dry,-155.230091,19.44199409,0,0,1112.3,256.71,202,114,146,18.63,17.94,17.32,23.47,22.74,21.6,13.78,13.13,13.04
COO,gravid,400,400,2004,8,summer,dry,-155.2284136,19.44091997,2,1,1098.58,450.18,202,114,146,18.63,17.94,17.32,23.48,22.74,21.6,13.78,13.13,13.04
COO,gravid,400,500,2004,8,summer,dry,-155.2276262,19.44137408,0,0,1087.63,450.48,206,117,150,18.72,18.02,17.41,23.55,22.8,21.67,13.89,13.24,13.14
COO,gravid,800,300,2004,8,summer,dry,-155.2273539,19.43746661,1,1,1104.26,331.5,205,115,147,18.65,17.98,17.34,23.5,22.76,21.62,13.8,13.2,13.06
COO,gravid,800,400,2004,8,summer,dry,-155.2265905,19.43790854,2,1,1096.39,318.37,205,115,147,18.66,17.98,17.34,23.5,22.76,21.62,13.81,13.2,13.06
COO,gravid,0,300,2004,9,fall,dry,-155.2309783,19.44351859,9,1,1121.78,63.44,78,198,112,18.42,18.53,17.84,23.76,23.41,22.68,13.07,13.64,13
COO,gravid,0,500,2004,9,fall,dry,-155.22941,19.44441397,48,1,1112.78,73.55,79,202,115,18.5,18.6,17.91,23.83,23.47,22.73,13.17,13.73,13.09
COO,gravid,200,200,2004,9,fall,dry,-155.2308537,19.44154805,3,1,1114.02,257.58,77,199,112,18.44,18.55,17.87,23.77,23.41,22.68,13.1,13.68,13.05
COO,gravid,200,300,2004,9,fall,dry,-155.230091,19.44199409,3,1,1112.3,256.71,79,202,114,18.52,18.63,17.94,23.84,23.47,22.74,13.19,13.78,13.13
COO,gravid,600,200,2004,9,fall,dry,-155.2290522,19.4385194,3,1,1114.13,339.31,78,203,114,18.49,18.6,17.91,23.81,23.45,22.71,13.16,13.74,13.1
COO,gravid,600,700,2004,9,fall,dry,-155.2251706,19.44073586,4,1,1082.26,481.08,82,209,118,18.66,18.73,18.06,23.94,23.56,22.82,13.37,13.9,13.29
COO,gravid,800,800,2004,9,fall,dry,-155.2235136,19.43969315,1,1,1081.73,321.34,84,213,121,18.71,18.77,18.09,23.98,23.6,22.84,13.43,13.94,13.33
COO,gravid,0,900,2004,10,fall,dry,-155.2263299,19.44615884,3,1,1101.28,312.25,309,82,206,18.07,18.56,18.64,22.38,23.87,23.51,13.75,13.25,13.76
COO,gravid,200,400,2004,10,fall,dry,-155.2293082,19.44242936,9,1,1108.3,257.95,296,79,202,18.06,18.52,18.63,22.37,23.84,23.47,13.74,13.19,13.78
COO,gravid,400,200,2004,10,fall,dry,-155.2299591,19.44003864,5,1,1113.74,296.04,294,78,203,18.02,18.49,18.59,22.34,23.81,23.44,13.69,13.16,13.73
COO,gravid,400,600,2004,10,fall,dry,-155.2268674,19.44180033,14,1,1088.89,465.37,304,81,206,18.15,18.63,18.72,22.44,23.92,23.55,13.86,13.33,13.89
COO,gravid,600,900,2004,10,fall,dry,-155.2236312,19.44165793,2,1,1078.31,504.8,323,85,214,18.23,18.72,18.79,22.5,24,23.61,13.95,13.44,13.97
COO,gravid,800,300,2004,10,fall,dry,-155.2273539,19.43746661,1,1,1104.26,331.5,299,79,205,18.08,18.56,18.65,22.39,23.86,23.5,13.76,13.26,13.8
COO,gravid,800,400,2004,10,fall,dry,-155.2265905,19.43790854,3,1,1096.39,318.37,299,79,205,18.08,18.56,18.66,22.39,23.86,23.5,13.76,13.26,13.81
COO,gravid,0,100,2004,11,fall,wet,-155.2325277,19.4426415,0,0,1128.82,62.46,247,290,77,16.56,17.97,18.44,20.55,22.3,23.77,12.56,13.64,13.1
COO,gravid,0,400,2004,11,fall,wet,-155.2302066,19.44395919,2,1,1116.49,63.57,252,298,79,16.54,18.03,18.5,20.48,22.35,23.83,12.59,13.7,13.17
COO,gravid,0,700,2004,11,fall,wet,-155.2278603,19.44527299,1,1,1106.78,222.9,257,309,82,16.51,18.07,18.56,20.38,22.38,23.87,12.63,13.75,13.25
COO,gravid,0,800,2004,11,fall,wet,-155.2271073,19.44570887,0,0,1104.13,263.77,257,309,82,16.51,18.07,18.56,20.38,22.38,23.87,12.63,13.75,13.25
COO,gravid,200,600,2004,11,fall,wet,-155.2277655,19.44331487,0,0,1099.4,285.17,256,307,81,16.56,18.09,18.57,20.46,22.39,23.88,12.66,13.78,13.26
COO,gravid,200,700,2004,11,fall,wet,-155.2269735,19.44378458,1,1,1098.91,337.97,256,307,81,16.56,18.09,18.57,20.46,22.39,23.88,12.66,13.78,13.26
COO,gravid,200,800,2004,11,fall,wet,-155.2262343,19.44421862,0,0,1097.24,403.06,256,307,81,16.57,18.09,18.57,20.47,22.39,23.88,12.66,13.78,13.26
COO,gravid,400,100,2004,11,fall,wet,-155.2307343,19.43960176,0,0,1120.48,203.58,247,288,76,16.59,17.95,18.43,20.58,22.29,23.74,12.6,13.61,13.12
COO,gravid,600,200,2004,11,fall,wet,-155.2290522,19.4385194,0,0,1114.13,339.31,250,294,78,16.6,18.02,18.49,20.58,22.34,23.81,12.62,13.69,13.16
COO,gravid,600,500,2004,11,fall,wet,-155.2267011,19.43986808,0,0,1087.56,493.94,253,302,80,16.68,18.13,18.6,20.61,22.43,23.9,12.74,13.83,13.3
COO,gravid,800,200,2004,11,fall,wet,-155.2281268,19.43701277,0,0,1109.79,338.1,252,299,79,16.67,18.08,18.56,20.62,22.39,23.86,12.72,13.76,13.26
COO,gravid,200,200,2004,12,winter,wet,-155.2308537,19.44154805,0,0,1114.02,257.58,242,247,290,15.53,16.56,17.98,19.95,20.55,22.31,11.11,12.56,13.64
COO,gravid,200,600,2004,12,winter,wet,-155.2277655,19.44331487,0,0,1099.4,285.17,251,256,307,15.64,16.56,18.09,20.04,20.46,22.39,11.24,12.66,13.78
COO,gravid,600,100,2004,12,winter,wet,-155.2298184,19.43806857,0,0,1119.12,244.38,243,249,292,15.59,16.63,17.99,19.97,20.61,22.32,11.2,12.65,13.66
COO,gravid,600,200,2004,12,winter,wet,-155.2290522,19.4385194,0,0,1114.13,339.31,244,250,294,15.59,16.6,18.02,19.99,20.58,22.34,11.18,12.62,13.69
COO,gravid,600,300,2004,12,winter,wet,-155.2282506,19.43899102,0,0,1105.44,435.31,244,250,294,15.59,16.6,18.02,19.99,20.58,22.34,11.18,12.62,13.69
COO,gravid,800,200,2004,12,winter,wet,-155.2281268,19.43701277,0,0,1109.79,338.1,246,252,299,15.67,16.67,18.08,20.03,20.62,22.39,11.3,12.72,13.76
COO,gravid,800,900,2004,12,winter,wet,-155.2226967,19.44015203,0,0,1076.51,315.22,256,262,319,15.78,16.71,18.2,20.13,20.57,22.48,11.43,12.84,13.91
CRA,co2,0,600,2002,2,winter,wet,-155.2449352,19.40272482,0,0,1120,1724.78,168,573,455,13.98,15.37,15.34,18.36,19.78,19.23,9.6,10.95,11.44
CRA,co2,200,700,2002,2,winter,wet,-155.2436347,19.40470545,0,0,1135.28,1520.19,170,581,460,13.92,15.3,15.27,18.31,19.72,19.17,9.53,10.88,11.37
CRA,co2,400,200,2002,2,winter,wet,-155.2401786,19.40091731,0,0,1135.17,2013.7,170,589,452,13.91,15.29,15.28,18.31,19.69,19.18,9.51,10.88,11.37
CRA,co2,400,700,2002,2,winter,wet,-155.2419012,19.40535208,0,0,1140.29,1489.71,174,582,473,13.87,15.26,15.22,18.26,19.69,19.12,9.48,10.83,11.31
CRA,co2,400,800,2002,2,winter,wet,-155.242229,19.4062448,0,0,1145.28,1384.87,174,582,473,13.87,15.26,15.22,18.26,19.69,19.12,9.48,10.83,11.31
CRA,co2,800,900,2002,2,winter,wet,-155.2388183,19.40792243,0,0,1175.25,1363.95,181,598,494,13.68,15.07,15.02,18.09,19.52,18.95,9.26,10.62,11.08
CRA,co2,0,400,2002,4,spring,wet,-155.2442446,19.40095119,0,0,1133.69,1926.53,215,135,165,16.98,15.12,14.03,21.83,19.94,18.41,12.13,10.3,9.65
CRA,co2,0,500,2002,4,spring,wet,-155.2445907,19.40183774,0,0,1117.56,1825.44,215,135,165,16.98,15.12,14.03,21.83,19.94,18.41,12.13,10.3,9.65
CRA,co2,600,200,2002,4,spring,wet,-155.2381993,19.4010654,0,0,1135.17,2070.04,221,144,172,16.84,14.97,13.9,21.7,19.77,18.29,11.97,10.17,9.51
CRA,co2,800,500,2002,4,spring,wet,-155.2374572,19.40436821,0,0,1163.1,1775.75,223,145,175,16.75,14.87,13.8,21.63,19.69,18.2,11.86,10.04,9.39
CRA,co2,800,700,2002,4,spring,wet,-155.2381423,19.40614374,0,0,1167.09,1569.21,225,147,178,16.68,14.8,13.73,21.57,19.64,18.14,11.78,9.96,9.32
CRA,co2,0,100,2002,6,summer,dry,-155.2432391,19.39828039,0,0,1115.04,2232.75,84,279,215,17.74,17.05,16.96,23.31,21.63,21.81,12.17,12.46,12.11
CRA,co2,200,300,2002,6,summer,dry,-155.2422897,19.40114591,0,0,1133.51,1934.25,86,283,217,17.62,16.94,16.86,23.22,21.55,21.73,12.02,12.33,11.99
CRA,co2,200,500,2002,6,summer,dry,-155.24298,19.4029196,0,0,1135.57,1727.2,88,287,219,17.6,16.94,16.88,23.18,21.55,21.74,12.02,12.33,12.01
CRA,co2,200,600,2002,6,summer,dry,-155.2433074,19.40381252,0,0,1132.67,1623.6,88,287,219,17.6,16.94,16.88,23.18,21.55,21.74,12.02,12.33,12.01
CRA,co2,400,200,2002,6,summer,dry,-155.2401786,19.40091731,0,0,1135.17,2013.7,89,289,219,17.61,16.94,16.86,23.2,21.54,21.72,12.02,12.33,11.99
CRA,co2,800,100,2002,6,summer,dry,-155.2360685,19.40082545,0,0,1134.77,2190.91,95,302,223,17.6,16.92,16.83,23.18,21.52,21.69,12.02,12.32,11.97
CRA,co2,800,300,2002,6,summer,dry,-155.2368152,19.40257829,0,0,1150.45,1982.23,98,306,225,17.47,16.82,16.72,23.08,21.44,21.6,11.86,12.19,11.84
CRA,co2,0,300,2002,7,summer,dry,-155.2438986,19.40006463,0,0,1127.38,2028.01,108,84,279,18.52,17.75,17.05,23.13,23.32,21.63,13.9,12.17,12.46
CRA,co2,0,900,2002,7,summer,dry,-155.2459572,19.40539011,0,0,1127.22,1426.08,113,88,285,18.37,17.59,16.95,22.91,23.16,21.56,13.83,12.02,12.34
CRA,co2,200,600,2002,7,summer,dry,-155.2433074,19.40381252,0,0,1132.67,1623.6,114,88,287,18.38,17.6,16.94,22.95,23.18,21.55,13.8,12.02,12.33
CRA,co2,400,400,2002,7,summer,dry,-155.2408553,19.40269522,0,0,1145.67,1803.99,118,92,293,18.27,17.5,16.84,22.88,23.11,21.47,13.66,11.89,12.21
CRA,co2,400,500,2002,7,summer,dry,-155.2412111,19.40357827,0,0,1148.97,1699.26,118,92,293,18.27,17.5,16.84,22.88,23.11,21.47,13.66,11.89,12.21
CRA,co2,600,300,2002,7,summer,dry,-155.2385507,19.40195004,0,0,1142.44,1965.12,119,92,295,18.38,17.61,16.93,22.99,23.19,21.53,13.76,12.02,12.32
CRA,co2,600,900,2002,7,summer,dry,-155.2406229,19.40726991,2,1,1168.61,1336.3,126,98,303,18.12,17.34,16.73,22.7,22.96,21.38,13.54,11.72,12.07
CRA,co2,0,200,2002,8,summer,dry,-155.2435679,19.39917282,0,0,1120.06,2130.23,105,108,84,18.73,18.51,17.75,23.33,23.12,23.32,14.13,13.9,12.17
CRA,co2,0,500,2002,8,summer,dry,-155.2445907,19.40183774,0,0,1117.56,1825.44,103,107,83,18.73,18.51,17.74,23.3,23.09,23.3,14.15,13.93,12.17
CRA,co2,0,700,2002,8,summer,dry,-155.2452746,19.4036137,0,0,1121.14,1624.48,106,110,85,18.67,18.45,17.67,23.23,23,23.24,14.1,13.89,12.1
CRA,co2,200,100,2002,8,summer,dry,-155.2416168,19.39936617,0,0,1121.38,2142.15,109,112,87,18.7,18.49,17.72,23.3,23.1,23.29,14.1,13.87,12.14
CRA,co2,200,200,2002,8,summer,dry,-155.2419529,19.40025615,0,0,1127.21,2038.14,107,111,86,18.61,18.4,17.62,23.22,23.01,23.22,14,13.78,12.02
CRA,co2,200,600,2002,8,summer,dry,-155.2433074,19.40381252,0,0,1132.67,1623.6,110,114,88,18.6,18.38,17.6,23.18,22.95,23.18,14.01,13.8,12.02
CRA,co2,600,200,2002,8,summer,dry,-155.2381993,19.4010654,0,0,1135.17,2070.04,115,119,92,18.59,18.38,17.61,23.2,22.99,23.19,13.98,13.76,12.02
CRA,co2,0,100,2002,9,fall,dry,-155.2432391,19.39828039,0,0,1115.04,2232.75,99,105,108,17.71,18.73,18.51,22.07,23.33,23.12,13.34,14.13,13.9
CRA,co2,0,400,2002,9,fall,dry,-155.2442446,19.40095119,0,0,1133.69,1926.53,98,103,107,17.71,18.73,18.51,22.04,23.3,23.09,13.37,14.15,13.93
CRA,co2,200,200,2002,9,fall,dry,-155.2419529,19.40025615,0,0,1127.21,2038.14,101,107,111,17.59,18.61,18.4,21.95,23.22,23.01,13.22,14,13.78
CRA,co2,200,700,2002,9,fall,dry,-155.2436347,19.40470545,0,0,1135.28,1520.19,103,110,114,17.58,18.6,18.38,21.92,23.18,22.95,13.23,14.01,13.8
CRA,co2,600,700,2002,9,fall,dry,-155.2399122,19.40550353,0,0,1164.92,1545.96,109,117,122,17.38,18.41,18.18,21.75,23.02,22.78,13.01,13.79,13.57
CRA,co2,800,100,2002,9,fall,dry,-155.2360685,19.40082545,0,0,1134.77,2190.91,111,119,123,17.57,18.58,18.37,21.94,23.19,22.98,13.19,13.97,13.75
